Comment,Compound,Positive,Neutral,Negative
Airbnb hosts worried about business lost because of coronavirus http://bit.ly/2vl81t4 #Toronto #Ontario #Canada #Airbnb #Coronavirus #COVID19 #COVID19Toronto,-0.5423,0.0,0.769,0.231
"2mos ago I was a digital nomad living off Airbnb &amp; Uber Eats, with few supplies I'm relieved I prioritized mental &amp; physical stability before the pandemic broke but many still don't have a home base Let's look out for travelers who won't make it home. DM if you need help in SF",0.5346,0.1,0.864,0.036
Would love to see #boycottVRBO trending. #VRBO needs to update their policy like Airbnb did to include a contingency for #Covid19 related cancellations. This is out of our control. Do the right thing @vrbo.,0.7717,0.178,0.822,0.0
"Ha, the Airbnb host refused a full refund, because “it might be fine next month”. Sure Karen, the global pandemic with rising death toll will probably just vanish overnight. ",-0.1531,0.183,0.646,0.171
"Hey @Airbnb — you’re currently overriding hosts’ cancellation policies, where they lose everything, but you’re keeping your service fee? Absolutely disgusting. ",-0.7839,0.0,0.723,0.277
Literally no update from @Uber_Support and my phone has been off ever since I got off my uber. Like 100% sure they stole it by now. Also corona virus and LA has destroyed our airbnb business that I kinda rely on. WELP TIME TO WORK AT MCDONALDS,-0.0112,0.103,0.792,0.104
"I found some weed in a drawer at my Airbnb. Even though i am not leaving my house, today may be my lucky day!",0.4753,0.134,0.866,0.0
"Did a truly uplifting, entertaining episode of @JHillUnbothered w/ @TheEricaAsh. Come for her testimony about surviving breast cancer TWICE. Stay for the story about how she almost gave an @Airbnb owner those Decatur hands! Download/subscribe FOR FREE —&gt; https://open.spotify.com/episode/0YqbKneDD0wphElsP7vv5o?si=o6NmldxuTTudkKgxkb_W9Q",0.7861,0.248,0.664,0.088
getting kicked out of our airbnb bc the owners are scared of corona sir i was throwing up bc im an alcoholic i aint sick ,-0.0511,0.102,0.789,0.109
"The Olympics are coming to Paris in 2024, with Airbnb as an official sponsor. Communist deputy mayor Ian Brossat told us why development projects for the Games mustn’t drive out working-class people — and how city hall is fighting to defend social housing. ",-0.3612,0.0,0.943,0.057
"Just canceled my accommodation in Chicago, under the umbrella of @Airbnb’s extended refund for extenuating circumstances policy. Got a full refund. A great response to clients at a time of great stress. Thanks!",0.8622,0.283,0.647,0.07
Thinking abt when I told my moms distant relative in Boise about the nazi airbnb I was supposed to stay in and he said “why would you EVER go into that part of town???? That’s where all the nazis live!!!!” Like I was just supposed to knOW ABOUT THE NAZI SECTOR OF BOISE??!??!,0.6836,0.086,0.914,0.0
Update: Still in AZ. Family that planned to come visit has cancelled their trips. My mother and I are deciding whether or not to stay here where the cases are still super low and as long as we can’t get our AirBnB money back. Will do my best to do live chats and streams all week!,0.7424,0.132,0.803,0.065
Day 3 without sports: My AirBNB host in Milwaukee is pretty nice. Had food waiting for me when I arrived and everything. I think she likes me too . Definitely a potential 5 rating. Will send updates!,0.8955,0.304,0.696,0.0
"This is small stuff, but it’s sucky to be in quarantine mode in an Airbnb without one’s cast iron skillet. Like...in all survivalist situations in my brain, I have my cast iron skillet ready for action.",-0.1531,0.081,0.823,0.096
This $200 a night Airbnb just paid for its self JACKPOT BABY!! It's like a Hand Pay ,0.7081,0.319,0.61,0.071
#Starttofinish The sketch was done in a lovely 13th century Airbnb house in Estonia. Which turns into my inspiration. = ) ,0.802,0.31,0.69,0.0
I'll admit it. I engineered the virus as part of a long plan to dissuade the large groups of partying youngsters from gathering in the airbnb next door. Apologies for the inconvenience to everybody else.,0.2263,0.119,0.813,0.068
"Harry & Meghan with Archie, must be at home enjoying the weekend with their feet up high. No royalty stress, switched off noise from haters & British media,no Frogmore Cottage-Airbnb, at least for some months. Talk to the hand, sis. Guys, have a wonderful weekend as well. ",0.6369,0.215,0.642,0.142
"We are disappointed we had to cancel our Kentucky vacation for 2 weeks from now. But we can't be happier with how easy it was to be refunded for our @Airbnb stay &amp; @KYHorseCountry tours. Hope we can get to @claibornefarm, @AdenaSprings, @TaylorMadeSales &amp; @Gainesway soon!!!",0.5207,0.154,0.717,0.129
The coronavirus crisis has exposed a crucial weakness in Airbnb's business model and it's likely to haunt the $31 billion company's IPO plans ,-0.872,0.0,0.623,0.377
"“After taking the fight to Airbnb for years as mayor, incumbent Anne Hidalgo has pledged to hold a referendum in every Paris arrondissement (district) over Airbnb” @emfarrelly https://www.france24.com/en/20200313-paris-mayor-s-race-takes-a-run-at-airbnb-style-rentals.",-0.3818,0.0,0.909,0.091
"If anyone is still under the impression that #Airbnb is just struggling families trying to make do in their own home, this website shows the true picture. Remember that very few #Edinburgh STL properties have planning permission, or would be granted it. https://psirens.github.io/airbnb-edb/",0.4404,0.138,0.804,0.058
Airbnb Will Now Allow Travelers to Cancel Their Reservations in the US Free of Charge http://bit.ly/2IKqwu5,0.4939,0.257,0.644,0.099
"Image if all people with the impostor syndrome gave up because ""they are not good enough"". We would NOT have: - Stack Overflow - Google - Facebook - Amazon - AirBnb - Twitter - DEV - LinkedIn - Udemy - etc. Don't get defeated by the impostor syndrome. ",0.2139,0.102,0.84,0.058
Some companies have been great about the #CoronaVirus crisis - past 24 hours have received emails from @TripAdvisor @Thalys_EN @AirBnB and even @Ryanair but nothing from @BookingCom!?! Have several bookings and no info on app (from what I can see) - why not!?,-0.6169,0.055,0.802,0.143
Airbnb launches $1 million fund to find and finance world’s most unique home ideas: https://worldarchitecture.org/architecture-news/eenhp/airbnb-launches-1-million-fund-to-find-and-finance-world-s-most-unique-home-ideas.html #architecture pic.twitter.com/qXndCAau4r,0.0,0.0,1.0,0.0
"Do you hear that sound? That is the sound of NZ's tourism industry taking a bath. The sound of 10,000 AirBnB's becoming insolvent. The sound of NZ getting ready to vote her out for economic mismanagement.",0.3612,0.068,0.932,0.0
"Our Airbnb host told us at checkout that we were his last guests booked. Period. All his future bookings? Cancelled. Not entirely a surprise, but his bleak sense of hope for the future really made me want to give him a hug.",0.833,0.206,0.731,0.063
This is now available to guests who book Airbnb’s in the US. ,0.0,0.0,1.0,0.0
"Activate Airbnb for platform of donated rooms for self-quarantine-as-a-service powered by network of volunteers delivering food, goods and meds esp for vulnerable elderly. cc @bchesky",-0.2263,0.0,0.927,0.073
"Shot to @FlyAirNZ for letting us cancel flights. Even our AirBnB in Tokyo gave us a full refund, lovely people, we will stay with them when we reschedule.",0.4215,0.123,0.812,0.065
"Miami roundtrip is $97, an Airbnb a night is $50-80. If anyone seriously wants to go w me lmk ",-0.1779,0.0,0.904,0.096
"so me and lin will have to self isolate when she is here. meaning we won’t be able to leave the airbnb at all. oh no , what ever will we do to pass the time ..... ",-0.4939,0.0,0.864,0.136
"I cannot not share how beautiful my evening was. Sharing plant-based tapas and dessert at one of my favorite restaurants overlooking the sea, kisses under the stars by the waves, and now I walk into my Airbnb and two random cats follow me inside to cuddle and hang out. Blessed.",0.8888,0.245,0.702,0.053
Trip to France in a couple weeks is cancelled . Thanks to @Delta @Airbnb @MarriottBonvoy and the adorable hotel in the Luberon we were going to visit for being easy to work with and providing full refunds. ,0.7906,0.214,0.738,0.048
"I’m not laughing...I just canceled an @Airbnb reservation and got charged $1200?! I know this is not the world we are living in, LORT!!!!",-0.453,0.0,0.881,0.119
Some people saw us twerking thru our Airbnb window and invited us to their party ,0.4019,0.162,0.838,0.0
"Friends, looking for a spot to self-isolate in or near Christchurch, New Zealand, from 21 March for 2 weeks. Happy to pay rent or housesit pets and plants. Non-smoker, quite respectable ratings on AirBnB! No symptoms besides homesicknes &amp; no known exposure to the c-word.",0.7569,0.194,0.697,0.109
"In Canada, it looks like the end of illegal Airbnb's Etc., in condos as a court rules they're the functional equivalent of a hotel stay. #airbnb #illegalhotel #canada #homeaway #vrbo #alberta #edmonton",-0.2732,0.073,0.821,0.106
I’ve had 2 full months of cancellations on all 4 of my units. Zero insulation for hosts. You’re hurting me so bad. I have a strict cancellation policy. Why not split the hurt between the guest and myself. Not put it all on my shoulders. I’ve been a superhost for 4 years. HELP ME,-0.0731,0.11,0.776,0.115
It occurred to a friend that AirBnB has a database of vacant and furnished apartments with remote access options we could use to isolate and comfort the ill,0.2732,0.176,0.681,0.142
just opened the pit in our airbnb of six people,0.0,0.0,1.0,0.0
airbnb coronavirus guests devon was a great host,0.6249,0.406,0.594,0.0
"Canceled so far: a teaching gig in two weeks, theater production I was consulting on, several performances of my work, I'm guessing a residency I'm doing in May, at least 3 of the stays in my Airbnb. Delayed: biggest contract of my career so far. ",-0.2263,0.0,0.955,0.045
I wouldn't use AirBNB if someone else paid for it. Too many jobs are lost because of it. There is no reasonable excuse for this. ,-0.4939,0.049,0.784,0.168
anyone else facing eviction who wanna live in an oakland airbnb?? ,-0.5204,0.0,0.749,0.251
" Maritime Suite, Penang Booked on airbnb. Super spacious with seaview. Worth every sen!! ",0.7494,0.367,0.633,0.0
"Good morning everybody the wifi at the Airbnb is down so I haven’t had internet for a bit. but somehow I shot past 1400 followers while I was away, thank you all for following and supporting my art! ",0.8534,0.232,0.768,0.0
I really need Mmt to make a post about ateez cause our last Airbnb payment is due the first week of April and I need to cancel flights and Airbnb’s ASAP so we have a chance to get our money back.,0.0679,0.058,0.891,0.051
".@CityofVancouver claims it has taken hundreds of actions against illegal Airbnb operations. I asked City of Vancouver for information regarding this actions. The city is asking me to pay them $4,000 to release the information. CC: @bobmackin #vanre #vanpoli #GreyestCity",-0.6124,0.0,0.881,0.119
"Remarkable! #coronavirus will affect the nature of #airbnb listings more than any government regulation. Those who bought #realestate assuming @Airbnb will repay their mortgage will drop out in desperation, leaving mom&amp;pop hosts renting out spare rooms. #tourism #tourismresearch",-0.2003,0.082,0.796,0.123
"Airbnb and all hotels are issuing refunds, why is it taking so long for you guys to act?",0.0,0.0,1.0,0.0
Airbnb Will Now Allow Travelers to Cancel Their Reservations in the US Free of Charge http://bit.ly/2wTCC1q,0.4939,0.257,0.644,0.099
I have non-refundable airfare & Airbnb reservations...maybe I can try to attend a show that doesn’t have the unbookable curse. #UnbookablesAreCancelled,-0.5423,0.0,0.821,0.179
"1am @talkRADIO #hoteliersfilmclub Bed and Breakfast at Tiffany’s, Carry On Lenny Henry, Chocolate Mint on the Pillow Talk, In The Airbnb, Travelodge With My Aunt,",0.0,0.0,1.0,0.0
"Our airbnb next weekend . Let me know if u guys wanna come through, its gonna be a fucking party HARD DANCE MUSIC ALL OF FRIDAY pic.twitter.com/OLUi5FptBT",0.1485,0.109,0.803,0.088
I'll never book with VRBO again. @Airbnb is providing the level of customer service expected.,0.0,0.0,1.0,0.0
"Rented an Airbnb in town for the weekend to get away from showings, open house, etc. and this will do just fine ",0.2023,0.079,0.921,0.0
I’m seriously thinking of renting an Airbnb JUST for the bathtub. I miss having beautifully long baths after a long day! ,0.4003,0.171,0.687,0.142
At an airbnb traveling for work (chill I'm in Canada). The host told me not to open the window because they are afraid the virus will blow in.,0.0,0.0,1.0,0.0
Now is a good time to cancel your Airbnb stay http://gizmo.do/oZgUkx4,0.2263,0.225,0.62,0.155
If you know anyone in the restaurant/hospitality business give them a call & send them positive energy. Even better spend some money at their establishment. These are Airbnb’s occupancy numbers. They were supposed to go public this year. Much worse at mom &amp; pop small businesses. ,0.6705,0.166,0.774,0.06
THE AIRBNB IS BOOKED we having a mf house party tomorrow!,0.4574,0.249,0.751,0.0
y’all taking this shit serious while my friends are literally over here trynna book an airbnb to throw a corona party tonight looking sad,-0.431,0.179,0.555,0.267
This sad boy at our Airbnb was having a rough time so I fixed him up ,-0.4767,0.0,0.807,0.193
"So I was supposed to be at @sxsw this year but as you know it was cancelled. So I cancelled my Airbnb last week and @Airbnb hit me with a whopping $200 cancellation fee?! Is this normal? Airbnb, are you going to forego these cancellation fees in lieu of corona?",-0.7033,0.0,0.885,0.115
My girl got a cough today. How’d I handle it? Easy! I did what any man would. The responsible thing and ghosted her since. Blocked her on all social media. Changed phone number. Found a new Airbnb. New identity I’m in my prime and don’t need to be exposed to #coronavirus,0.5255,0.13,0.805,0.065
FUCK a studio let’s get an Airbnb and record vocals in the kitchen,-0.6408,0.0,0.722,0.278
Y’all niggas that booked beach houses and Airbnb’s SICK especially the ones that was tryna flip tickets ,-0.7531,0.0,0.7,0.3
My world has really changed with the Coronavirus. The 3 main things I do in life are: 1) I own an Airbnb business. It’s dead. 2) I am an escort. My clients are not booking me. 3) I go to my office at the university every single day to work. It’s shutting down. I feel so lost.,-0.8069,0.0,0.87,0.13
"""#Airbnb had been hit by “a major decrease in total bookings worldwide specifically in the last week”. ",0.0,0.0,1.0,0.0
since they’re cancelling work and events and everything who wants to quarantine together and rent an airbnb in the woods and make an album,-0.2023,0.0,0.927,0.073
"Vacation rental company Airbnb has announced changes to its extenuating circumstances policy, allowing travelers to cancel their reservations penalty-free ",-0.25,0.0,0.9,0.1
NEW: Airbnb will now refund all reservations for anywhere in the United States through April 1. #WBZ,0.4215,0.149,0.851,0.0
Airbnb adds U.S. locations to its coronavirus refund policy ,0.0,0.0,1.0,0.0
"""I booked an Airbnb. If I cancel, can I get my money back?"" Here's the latest expert advice. ",-0.25,0.0,0.882,0.118
"All of this while Airbnb keeps their 14%, in many cases. The hosts are taking the big hit. Airbnb had a horrible 4th quarter, is now hit with this and their IPO is under threat. Greed.",-0.8625,0.0,0.769,0.231
Interesting comment - many hosts are taking the entire hit while Airbnb holds onto their 14%. Airbnb certainly can afford to support their hosts and their guests during this impact.,0.7783,0.231,0.769,0.0
Yo for everyone who booked an Airbnb for SXSW and gave up on getting it refunded when they told you no last week ,-0.296,0.0,0.909,0.091
"I feel like people would understand the menstrual cycle better if you explained it as ""your body hastily attempts to turn a basement into a shitty AirBNB for someone who never shows up""",0.2023,0.15,0.75,0.1
Airbnb extends free cancellation policy to bookings in the US https://www.theverge.com/2020/3/13/21178504/airbnb-extenuating-circumstances-policy-coronavirus-free-cancellation-covid-19-sxsw?utm_campaign=theverge&amp;utm_content=chorus&amp;utm_medium=social&amp;utm_source=twitter,0.5859,0.348,0.652,0.0
"It's great that guests are being refunded but are you even considering implementing some measures that would insulate hosts from lost income? Hosts are getting slammed, we've had multiple cancellations & even more thinking about cancelling. Share of the burden is disproportional.",-0.6181,0.105,0.709,0.185
“Airbnb” premieres at 12PST. Come thru and chat! https://youtu.be/xn9wvzfRq3U,0.0,0.0,1.0,0.0
Now is a good time to cancel your Airbnb stay http://gizmo.do/IbeG7qO,0.2263,0.225,0.62,0.155
.@Airbnb is offering full refunds on bookings for customers affected by COVID-19. @vrbo is offering nothing and recommends customers who booked on a credit card to contact their financial institution and ask for help. I wonder which one will be losing customers.,0.1114,0.115,0.758,0.127
@Airbnb please practice what you preach and hold your hosts accountable for refunds during this #globalpandemic #shameful,0.3182,0.126,0.874,0.0
Airbnb Will Allow Coronavirus-Related Cancellations In America Without Penalty https://gothamist.com/news/airbnb-will-allow-coronavirus-related-cancellations-america-without-penalty,0.5236,0.354,0.646,0.0
"“Hello, customer service? I need a refund for my Airbnb/flight? ",0.0,0.0,1.0,0.0
I am still in Arizona. Not sure what do to. As long as I have this AirBnB I'll probably just hang out. Drove down so can remain isolated even in a return to CO. But all my work is going to be from a distance now so can probably do that from anywhere. Live chats and streams! ,-0.3726,0.0,0.935,0.065
"I'm a fan of Airbnb. I am worried about their financial health, b/c even in Q4, they were bleeding cash. I'm sure Q1/Q2 will be brutal. They could raise private capital no problem, but probably have the screws turned more than normal right now.",-0.7003,0.068,0.723,0.209
We appreciate your patience and understanding as we are experiencing a large volume of inquiries due to COVID-19. We encourage you to continue to visit our help center for updates as matters progress: http://abnb.co/gx2p5,0.891,0.31,0.69,0.0
Big shout out to @Airbnb for giving me a full refund on my Atlanta trip when I was technically past the point of that.,0.34,0.103,0.897,0.0
Airbnb extends no-charge cancellation policy due to coronavirus https://tcrn.ch/2QcyT5A by @etherington,0.128,0.13,0.87,0.0
This policy means that hosts and guests impacted by the coronavirus outbreak will be able to cancel their homes reservation or Airbnb Experience without getting charged. ,-0.1048,0.058,0.87,0.072
Dear @airbnb @AirbnbHelp I got a popup said I would get full refund for cancelling our Tulum booking but my refund receipt shows $82 cleaning fee. Why would you show a misleading popup? This is bait and switch.,-0.4854,0.048,0.821,0.131
Airbnb ,0.0,0.0,1.0,0.0
"Heads up for everyone who had booked AirBnB accomodation for the Miami Open (or anywhere else in the area): AirBnB is offering full refunds, no questions asked, regardless of the original booking’s cancellation policy.",0.0258,0.063,0.877,0.06
"Coronavirus: Airbnb to issue refunds, won't charge US customers for canceling reservations ",0.0,0.0,1.0,0.0
Canceling travel to Italy because of coronavirus: Airbnb got it right. http://Hotels.com didn't.,0.0,0.0,1.0,0.0
"IF YA'LL HAVE AN AIRBNB RESERVATION WITHIN THE U.S. AND WANT TO CANCEL, AIRBNB IS OFFERING REFUNDS FOR ALL RESERVATIONS WITHIN THE U.S.!",-0.2481,0.053,0.854,0.093
Airbnb extends its extenuating circumstances policy to the United States. That should mean a lot more people can get refunds.,0.5106,0.202,0.798,0.0
"New Airbnb announcement: If you booked an Airbnb in the U.S. between now and April 1, you can now cancel without charge Also applies to Europe's Schengen Area, China, South Korea, Italy",-0.25,0.0,0.939,0.061
me responding to the wad of tourists checking into the airbnb next door this morning ,0.0,0.0,1.0,0.0
Let's take advantage of the situation and collapse the AirBnB market into oblivion. Bring down property values fast. Bankrupt international capitalists. Find out what investment funds collapse. Publicize vacant properties. Laugh in their faces! #antireport,-0.4574,0.174,0.609,0.216
"People have paid for things bethuna. Airbnb’s, flights, outfits allof rhaa imeko iyamekuza ",0.0,0.0,1.0,0.0
Tourism nixed by coronavirus: Airbnb got it right. http://Hotels.com didn't. https://trib.al/GsnpEvq,0.0,0.0,1.0,0.0
Consulting firm shares top lessons from legendary CEOs like Steve Jobs and Brian Chesky of Airbnb that helped land clients like Vice Media and Snapchat ,0.7906,0.3,0.7,0.0
My Airbnb hosts are so sweet. I’m currently on vacay but they sent me a sweet message checking in and offering me to pick up anything I needed in case I was gonna self quarantine ,0.8286,0.205,0.795,0.0
What do you guys think?! . . 2nd Airbnb goes up this week! This one has been a challenge but we have it done and ready for bookings. . . Some good paint fixed this place quite a bit but we also replaced the kitchen… https://www.instagram.com/p/B9rQZBjHzuo/?igshid=1vy5f1kebiweh,0.8479,0.199,0.801,0.0
"are you an airbnb host feeling the pinch of coronavirus? are you a guest having trouble deciding whether to cancel or struggling to get a refund? DM me here, send me an email: doliver@usatoday.com or call/text 9736689305. thanks and stay safe!",-0.2148,0.151,0.681,0.168
Good Morning! Here are your @cheddar business headlines for March 13. - Disneyland and Disney’s California Adventure will close until April - Major sports leagues suspending seasons due to coronavirus - Airbnb’s losses nearly double in its fourth quarter ,0.4199,0.133,0.801,0.066
"And when again you hear: ""I'll be the Facebook of... the AirBnB of..., the Amazon of..., the Uber of..."" Work on your product, focus on your target, get feedback, iterate &amp; grow before comparing you to a billion dollar company. #Startups #Entrepreneurs #Entrepreneurship #Startup",0.1779,0.039,0.961,0.0
"Every event we planned to attend in New York got cancelled because of a global pandemic. We should be covered under @Airbnb extenuating circumstance policy, but #AirBnB doesn’t want to refund us our money. @AirbnbHelp do the right thing.",-0.0129,0.037,0.924,0.039
my airbnb got cancelled for this weekend in london bc of covid-19! currently homeless!,-0.3786,0.0,0.834,0.166
"I don’t know if this is an official policy or not, but I just contacted the Trainline and Airbnb to cancel some tickets due to a trade show being cancelled and was able to get a refund minus a small fee. Always good to ask in these unprecedented times",-0.0387,0.077,0.822,0.1
A Lincoln Park alderman has distributed video showing just how big some Airbnb parties can get. Good luck counting all the heads as cops clear the joint out again and again… ,0.8807,0.301,0.699,0.0
"AIRBNB BOOKINGS PLUNGE AMID CARONAVIRUS PANDEMIC"" Remember the landlords who rejected tenants, judging their rental contributions 'insufficient'? Click link for more... https://www.neighboursnotstrangers.com/post/airbnb-bookings-plunge-amid-caronavirus-pandemic",-0.5106,0.0,0.864,0.136
Coronavirus proving to be an unwelcome guest for Airbnb’s business ,-0.4019,0.0,0.769,0.231
If I get a Airbnb tomorrow and have a lil party in that bitch. Like this if you’ll come ,0.1027,0.236,0.591,0.173
Sumo-themed Tokyo Airbnb apartment comes with a 'sento'-style bath https://japantoday.com/category/features/travel/sumo-themed-airbnb-apartment-comes-with-a-%27sento%27-style-bath,0.0,0.0,1.0,0.0
when the airbnb was booked and plans were set and you were ready to spend spring break and your birthday on the beach next weekend with your friends but then a whole pandemic comes to ruin everything ,-0.5267,0.09,0.786,0.124
"Looking for an Airbnb in SA? My man &amp; his homies got you!! They got 2 great locations w/ brand new furniture, beddings, etc. Book your stay ASAP before they’re completely booked ",0.6892,0.135,0.865,0.0
I think there was a camera in the shower vent in our airbnb so if you see me on Pornhub soaping my titties and putting a leg up to wash my pussy....PLEASE MIND YOUR BUSINESS,0.0,0.0,1.0,0.0
What if the government just paid for month-long hotel stays? Or filled up every Airbnb? No one's traveling into Metro Manila anyway.,-0.3736,0.0,0.891,0.109
"Airbnb has seen bookings collapse by 40% in European cities and China because of the coronavirus pandemic, casting doubt on an IPO this year https://on.ft.com/2vTSe4Z",-0.6908,0.0,0.801,0.199
Yup. I'm only ever booking directly through airlines from now on. Had no idea how horrible brokers were to deal with in the event of problems because I've never had a major issue come up before.,-0.8126,0.0,0.792,0.208
"While the rest of the world bands together to stop the spread of COVID-19, @Airbnb is being MALICIOUSLY IRRESPONSIBLE by refusing to update their extenuating circumstances policy to refund customers who need to cancel their reservations. This WILL spread the virus! ",-0.8697,0.0,0.774,0.226
"Dreamville being mad unfair rn. NC is in a state of emergency for the virus. All athletics entertainment is suspended. People flying in, out of the US won’t be able to come, even if they wanted to. We need time to re-book flights for a future date & get refunds from Airbnb.",-0.8481,0.048,0.748,0.204
