Comment,Compound,Positive,Neutral,Negative
When ur Airbnb has a helipad for ur helicopter but no towels ,-0.4215,0.0,0.781,0.219
finna rent an Airbnb for 3 months straight and make a bad girls club women are crazy and it’s lowkey entertaining,-0.2732,0.187,0.584,0.23
Me feeling SICK and laying in bed at my airbnb in FLORIDA. Then opening up twitter and seeing #Floridacoronavirus trending. L,-0.5473,0.064,0.765,0.171
"i truly cant wait to see all my friends at harryween, fly the plane, explore nyc, stay with ness and nat and morgan at an airbnb, then dance in the pit with my moots, wait in line at msg, dress up, take photos, see harry, its going to be such a blast &lt;3",0.7184,0.109,0.891,0.0
Me at the Airbnb after the probate Friday #SSU,0.0,0.0,1.0,0.0
AERA except I don't tell my family there's no in-person meeting and I escape to an airbnb in the woods for some r&amp;r and some time with my r&amp;r's?,-0.128,0.059,0.865,0.076
Call for English councils to be given powers to regulate Airbnb ,0.0,0.0,1.0,0.0
I have been waiting for DAYS on answers from @Airbnb @AirbnbHelp and now they are trying to deny my request for refund because they are saying that San Antonio isn’t considered “affected.” There’s no information about that anywhere on their website.,-0.5574,0.0,0.892,0.108
Airbnb for the weekend ,0.0,0.0,1.0,0.0
". @Airbnb @AirbnbHelp This is what I walked into, and have been on hold for hours with no progress. Upset with the service and have not been assisted with finding another place to say #fyrefest",-0.25,0.074,0.798,0.128
